1 Could I have an iced cordusio , please ?	Which size ?|Which size would you like ?|Which size for the cup ?
4 That is correct .	Your order will be ready at the next counter .|You can pick up your order at the next counter .|We will get that ready for you at the next counter .

1 Could I have an iced salted caramel mocha , please ?	Which size ?|Which size would you like ?|Which size for the cup ?
2 Tall cup .	Would you like anything else with that ?|Anything else ?|Would you like a delicious snack with that ?|Can I offer you anything to go with your drink ?
3 That is it .	So that would be a tall iced salted caramel mocha . Is that right ?|So that would be a tall iced salted caramel mocha . Did I get that right ?|Your order is a tall iced salted caramel mocha . Is that right ?|Your order is a tall iced salted caramel mocha . Did I get that right ?
4 That is correct .	Your order will be ready at the next counter .|You can pick up your order at the next counter .|We will get that ready for you at the next counter .

1 Could I have an iced cinnamon dolce latte , please ?	Which size ?|Which size would you like ?|Which size for the cup ?
2 Short cup .	Would you like anything else with that ?|Anything else ?|Would you like a delicious snack with that ?|Can I offer you anything to go with your drink ?
3 That would be it .	So that would be a short iced cinnamon dolce latte . Is that right ?|So that would be a short iced cinnamon dolce latte . Did I get that right ?|Your order is a short iced cinnamon dolce latte . Is that right ?|Your order is a short iced cinnamon dolce latte . Did I get that right ?
4 Sounds good !	Your order will be ready at the next counter .|You can pick up your order at the next counter .|We will get that ready for you at the next counter .

1 May I have an iced cinnamon dolce latte ?	Which size ?|Which size would you like ?|Which size for the cup ?
2 Short , thank you !	Would you like anything else with that ?|Anything else ?|Would you like a delicious snack with that ?|Can I offer you anything to go with your drink ?
3 That would be it .	So that would be a short iced cinnamon dolce latte . Is that right ?|So that would be a short iced cinnamon dolce latte . Did I get that right ?|Your order is a short iced cinnamon dolce latte . Is that right ?|Your order is a short iced cinnamon dolce latte . Did I get that right ?
4 Indeed !	Your order will be ready at the next counter .|You can pick up your order at the next counter .|We will get that ready for you at the next counter .

1 Can I have an iced pumpkin spice latte , please ?	Which size ?|Which size would you like ?|Which size for the cup ?
2 Tall .	Would you like anything else with that ?|Anything else ?|Would you like a delicious snack with that ?|Can I offer you anything to go with your drink ?
3 No , that is it .	So that would be a tall iced pumpkin spice latte . Is that right ?|So that would be a tall iced pumpkin spice latte . Did I get that right ?|Your order is a tall iced pumpkin spice latte . Is that right ?|Your order is a tall iced pumpkin spice latte . Did I get that right ?
4 Indeed !	Your order will be ready at the next counter .|You can pick up your order at the next counter .|We will get that ready for you at the next counter .

1 I want an iced latte macchiato .	Which size ?|Which size would you like ?|Which size for the cup ?
2 Tall cup .	Would you like anything else with that ?|Anything else ?|Would you like a delicious snack with that ?|Can I offer you anything to go with your drink ?
3 Just the drink .	So that would be a tall iced latte macchiato . Is that right ?|So that would be a tall iced latte macchiato . Did I get that right ?|Your order is a tall iced latte macchiato . Is that right ?|Your order is a tall iced latte macchiato . Did I get that right ?
4 That is correct .	Your order will be ready at the next counter .|You can pick up your order at the next counter .|We will get that ready for you at the next counter .

1 May I have an iced coffee americano ?	Which size ?|Which size would you like ?|Which size for the cup ?
2 Tall , thank you !	Would you like anything else with that ?|Anything else ?|Would you like a delicious snack with that ?|Can I offer you anything to go with your drink ?
3 No , thanks .	So that would be a tall iced coffee americano . Is that right ?|So that would be a tall iced coffee americano . Did I get that right ?|Your order is a tall iced coffee americano . Is that right ?|Your order is a tall iced coffee americano . Did I get that right ?
4 Definitely .	Your order will be ready at the next counter .|You can pick up your order at the next counter .|We will get that ready for you at the next counter .

1 Could I have an iced latte macchiato ?	Which size ?|Which size would you like ?|Which size for the cup ?
2 Tall , thank you !	Would you like anything else with that ?|Anything else ?|Would you like a delicious snack with that ?|Can I offer you anything to go with your drink ?
3 No .	So that would be a tall iced latte macchiato . Is that right ?|So that would be a tall iced latte macchiato . Did I get that right ?|Your order is a tall iced latte macchiato . Is that right ?|Your order is a tall iced latte macchiato . Did I get that right ?
4 Definitely .	Your order will be ready at the next counter .|You can pick up your order at the next counter .|We will get that ready for you at the next counter .

1 Can I get an iced latte macchiato ?	Which size ?|Which size would you like ?|Which size for the cup ?
2 Grande cup .	Would you like anything else with that ?|Anything else ?|Would you like a delicious snack with that ?|Can I offer you anything to go with your drink ?
3 That would be it .	So that would be a grande iced latte macchiato . Is that right ?|So that would be a grande iced latte macchiato . Did I get that right ?|Your order is a grande iced latte macchiato . Is that right ?|Your order is a grande iced latte macchiato . Did I get that right ?
4 Indeed !	Your order will be ready at the next counter .|You can pick up your order at the next counter .|We will get that ready for you at the next counter .

1 A cinnamon latte .	Which size ?|Which size would you like ?|Which size for the cup ?
